course_code,course_title,subject,subject_name,course_number
ACADENG 100,Forms in Academic English,ACADENG,Academic English Studies,100
ACADENG 101,Academic English Writing,ACADENG,Academic English Studies,101
ACADENG 104,Academic English for Business,ACADENG,Academic English Studies,104
ACADENG 210,Writing Research Reports,ACADENG,Academic English Studies,210
ACADENG 212,Special Topic,ACADENG,Academic English Studies,212
ACADINT A01,Academic Integrity Course,ACADINT,Academic Integrity,A01
ACCTG 101,Accounting Information,ACCTG,Accounting,101
ACCTG 102,Accounting Concepts,ACCTG,Accounting,102
ACCTG 151G,Financial Literacy,ACCTG,Accounting,151G
ACCTG 211,Financial Accounting,ACCTG,Accounting,211
ACCTG 221,Cost and Management Accounting,ACCTG,Accounting,221
ACCTG 222,Accounting Information Systems,ACCTG,Accounting,222
ACCTG 300,Directed Study,ACCTG,Accounting,300
ACCTG 311,Financial Accounting,ACCTG,Accounting,311
ACCTG 312,Auditing,ACCTG,Accounting,312
ACCTG 321,Strategic Management Accounting,ACCTG,Accounting,321
ACCTG 323,Performance Measurement and Evaluation,ACCTG,Accounting,323
ACCTG 331,Revenue and Cost Management,ACCTG,Accounting,331
ACCTG 371,Financial Statement Analysis,ACCTG,Accounting,371
ACCTG 381,Special Topic,ACCTG,Accounting,381
ACCTG 382,Special Topic,ACCTG,Accounting,382
ACCTG 701,Research Methods in Accounting,ACCTG,Accounting,701
ACCTG 702,Governance Issues in Accounting,ACCTG,Accounting,702
ACCTG 703,Directed Study,ACCTG,Accounting,703
ACCTG 707,Applied Accounting Research,ACCTG,Accounting,707
ACCTG 708,Fraud Auditing and Forensic Accounting,ACCTG,Accounting,708
ACCTG 709,Sustainability Accounting Research,ACCTG,Accounting,709
ACCTG 711,Financial Accounting Research,ACCTG,Accounting,711
ACCTG 714,Contemporary Auditing Research,ACCTG,Accounting,714
ACCTG 721,Research in Management Control,ACCTG,Accounting,721
ACCTG 722,Research in Revenue and Cost Management,ACCTG,Accounting,722
ACCTG 759,Applied Research Consultancy Project - Level 9,ACCTG,Accounting,759
ACCTG 771,Accounting Information and Capital Markets,ACCTG,Accounting,771
ACCTG 780,Special Topic: Sustainability Accounting and Integrated Reporting,ACCTG,Accounting,780
ACCTG 781,Special Topic: Efficiency and Productivity Measurement,ACCTG,Accounting,781
ACCTG 782,Special Topic,ACCTG,Accounting,782
ACCTG 786,Special Topic,ACCTG,Accounting,786
ACCTG 788,Research Project,ACCTG,Accounting,788
ACCTG 790,Research Project,ACCTG,Accounting,790
ACCTG 791,Dissertation,ACCTG,Accounting,791
ACCTG 791A,Dissertation,ACCTG,Accounting,791A
ACCTG 791B,Dissertation,ACCTG,Accounting,791B
ACCTG 796A,Thesis for MCom,ACCTG,Accounting,796A
ACCTG 796B,Thesis for MCom,ACCTG,Accounting,796B
AEROSPCE 720,Space Dynamics and Missions,AEROSPCE,Aerospace Engineering,720
AEROSPCE 730,Aerospace Systems Design,AEROSPCE,Aerospace Engineering,730
AEROSPCE 740,Aerospace Structures and Mechanisms,AEROSPCE,Aerospace Engineering,740
AEROSPCE 791,Research Project (Aerospace Engineering),AEROSPCE,Aerospace Engineering,791
AEROSPCE 791A,Research Project (Aerospace Engineering),AEROSPCE,Aerospace Engineering,791A
AEROSPCE 791B,Research Project (Aerospace Engineering),AEROSPCE,Aerospace Engineering,791B
